separation_nm,F_vdW_nN,F_electrostatic_nN,F_total_nN,U_vdW_aJ,U_electrostatic_aJ,U_total_aJ,diameter_nm,zeta_particle_mV,zeta_substrate_mV,ionic_strength_mM,temperature_C,eps_r_water,debye_length_nm,hamaker_J
0.6030761064044066,-0.10998051444225168,0.1672513824161833,0.057270867973931605,-0.06632662043018676,1.6069132819840846,1.5405866615538977,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6089532320738844,-0.10786787211449296,0.16714910514184161,0.05928123302734864,-0.06568648936105292,1.605930625170069,1.540244135809016,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6148876317851756,-0.1057958120446703,0.16704589461172095,0.061250082567050654,-0.06505253632093688,1.6049390018465692,1.5398864655256324,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6208798636879693,-0.10376355467836623,0.16694174293398206,0.06317818825561584,-0.06442470168448317,1.6039383361905861,1.5395136345061031,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6269304913712613,-0.10177033543581275,0.16683664216228442,0.06506630672647166,-0.06380292640179219,1.6029285518554859,1.5391256254536938,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6330400839163615,-0.09981540442423983,0.1667305842956609,0.06691517987142107,-0.06318715199286636,1.6019095719697942,1.5387224199769278,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6392092159504176,-0.09789802615574908,0.16662356127839836,0.06872553512264928,-0.06257732054210985,1.6008813191360491,1.5383039985939393,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.645438467700461,-0.09601747927060729,0.16651556499992376,0.07049808572931648,-0.061973374692881555,1.5998437154297083,1.5378703407368266,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6517284250479788,-0.094173056265855,0.16640658729469687,0.07223353102884188,-0.06137525764210036,1.5987966823981161,1.5374214247560158,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6580796795840179,-0.09236406322912834,0.16629661994210906,0.07393255671298073,-0.06078291313490275,1.5977401410595322,1.5369572279246295,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6644928286648264,-0.09058981957759404,0.1661856546663885,0.07559583508879444,-0.060196285459351746,1.5966740119022214,1.5364777264428695,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6709684754680364,-0.0888496578018993,0.16607368313651213,0.07722402533461284,-0.059615319441197086,1.5955982148836074,1.5359828954424104,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6775072290493949,-0.08714292321504,0.16596069696612448,0.07881777375108448,-0.05903996043868594,1.5945126694294922,1.535472708990806,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6841097044000481,-0.08546897370605315,0.16584668771346356,0.0803777140074104,-0.05847015433742352,1.5934172944333436,1.53494714009592,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6907765225043825,-0.08382717949844092,0.16573164688129358,0.08190446738285265,-0.0579058475452837,1.592312008255652,1.5344061607103683,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.6975083103984311,-0.08221692291323442,0.1656155659168458,0.0833986430036114,-0.05734698698736819,1.5911967287233577,1.5338497417359898,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7043057012288478,-0.08063759813660974,0.16549843621176624,0.0848608380751565,-0.05679352010101496,1.5900713731293525,1.5332778530283375,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7111693343124572,-0.07908861099196737,0.16538024910207177,0.08629163811010439,-0.056245394830854334,1.5889358582320539,1.5326904634011995,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7180998551963844,-0.07756937871638997,0.1652609958681137,0.08769161715172374,-0.05570255962391314,1.5877901002550587,1.5320875406311458,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7250979157187705,-0.07607932974139413,0.16514066773455013,0.08906133799315599,-0.055164963424765956,1.586634014886876,1.53146905146211,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7321641740700805,-0.07461790347789381,0.16501925587032623,0.09040135239243242,-0.054632555670733114,1.5854675172807375,1.5308349616100043,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7392992948550081,-0.07318455010529444,0.16489675138866353,0.09171220128336907,-0.0541052862871252,1.5842905220544945,1.5301852357673693,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.746503949154984,-0.07177873036463842,0.1647731453470579,0.09299441498241946,-0.05358310568253334,1.5831029432905996,1.5295198376080663,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7537788145912931,-0.07039991535572389,0.16464842874728655,0.09424851339156268,-0.05306596474416494,1.581904694536172,1.5288387297920072,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7611245753888074,-0.06904758633812116,0.16452259253542453,0.09547500619730337,-0.052553814833224494,1.5806956888031587,1.528141873969934,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7685419224403393,-0.06772123453601091,0.16439562760187065,0.09667439306585976,-0.05204660778033893,1.57947583856858,1.527429230788241,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7760315533716219,-0.06642036094677184,0.1642675247813831,0.09784716383461126,-0.051544295881027165,1.5782450557748755,1.5267007598938485,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7835941726069241,-0.06514447615324466,0.16413827485312518,0.09899379869988051,-0.05104683189121326,1.5770032518303418,1.5259564199391287,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.791230491435303,-0.06389310013960292,0.16400786854072133,0.10011476840111842,-0.050554169022783035,1.57575033760967,1.525196168586887,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.7989412280775033,-0.06266576211076029,0.1638762965123236,0.10121053440156333,-0.0500662609391835,1.5744862234545844,1.524419962515401,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.8067271077535085,-0.06146200031524725,0.1637435493806886,0.10228154906544135,-0.049583061751064646,1.5732108191745842,1.5236277574235195,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.81458886275075,-0.06028136187149008,0.16360961770326599,0.1033282558317759,-0.04910452601196353,1.5719240340477905,1.5228195080358269,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.8225272324929809,-0.05912340259742686,0.16347449198229771,0.10435108938487084,-0.048630608714029834,1.5706257768219023,1.5219951681078725,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.8305429636098218,-0.05798768684339635,0.16333816266492895,0.10535047582153262,-0.048161265283792686,1.5693159557152607,1.5211546904314681,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.8386368100069833,-0.05687378732823722,0.16320062014333095,0.10632683281509374,-0.047696451577968445,1.5679944784180302,1.5202980268400619,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.8468095329371734,-0.05578128497853532,0.16306185475483567,0.10728056977630036,-0.04723612387930887,1.5666612520934915,1.5194251282141826,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
0.8550619010716959,-0.05470976877095925,0.16292185678208285,0.10821208801112361,-0.04678023889248931,1.5653161833794553,1.518535944486966,200.0,-45.0,-50.0,1.0,25.0,78.30334375,9.607772795476752,2.4e-21
